Year, Manufacturing ," Electricity, gas, steam and air conditioning supply ", Transport and storage , Households 
1990,180,217,66,142
1991,181,214,66,151
1992,174,202,67,149
1993,169,184,68,154
1994,171,181,69,149
1995,169,179,72,144
1996,170,179,78,160
1997,170,164,79,154
1998,160,169,82,156
1999,144,161,82,157
2000,138,173,84,158
2001,132,184,88,162
2002,123,179,89,161
2003,126,189,91,161
2004,125,189,96,164
2005,124,191,99,160
2006,120,199,92,157
2007,120,194,93,154
2008,111,190,91,155
2009,94,168,84,151
2010,98,175,84,161
2011,93,162,87,142
2012,90,177,81,150
2013,92,168,78,152
2014,92,147,82,139
2015,89,130,84,143
2016,85,109,85,146
2017,86,99,81,144
2018,84,94,87,149
2019,84,88,80,148
