Year,Category,Pollution
1850,China,40.5
1851,China,43.3
1852,China,46.1
1853,China,48.8
1854,China,51.5
1855,China,54.2
1856,China,56.8
1857,China,59.4
1858,China,61.9
1859,China,64.4
1860,China,66.8
1861,China,69.2
1862,China,71.5
1863,China,73.8
1864,China,76
1865,China,78.2
1866,China,80.4
1867,China,82.5
1868,China,84.5
1869,China,86.5
1870,China,88.5
1871,China,90.5
1872,China,92.5
1873,China,94.6
1874,China,96.7
1875,China,98.7
1876,China,101
1877,China,103
1878,China,105
1879,China,106
1880,China,108
1881,China,110
1882,China,111
1883,China,113
1884,China,114
1885,China,115
1886,China,117
1887,China,118
1888,China,119
1889,China,120
1890,China,123
1891,China,124
1892,China,125
1893,China,126
1894,China,127
1895,China,128
1896,China,129
1897,China,130
1898,China,131
1899,China,133
1900,China,134
1901,China,135
1902,China,136
1903,China,140
1904,China,141
1905,China,143
1906,China,160
1907,China,161
1908,China,169
1909,China,169
1910,China,168
1911,China,179
1912,China,163
1913,China,166
1914,China,173
1915,China,176
1916,China,180
1917,China,184
1918,China,187
1919,China,193
1920,China,198
1921,China,200
1922,China,205
1923,China,216
1924,China,225
1925,China,230
1926,China,232
1927,China,242
1928,China,248
1929,China,255
1930,China,260
1931,China,265
1932,China,266
1933,China,272
1934,China,281
1935,China,291
1936,China,300
1937,China,298
1938,China,296
1939,China,311
1940,China,333
1941,China,358
1942,China,369
1943,China,358
1944,China,365
1945,China,324
1946,China,311
1947,China,320
1948,China,318
1949,China,360
1950,China,387
1951,China,423
1952,China,472
1953,China,509
1954,China,571
1955,China,638
1956,China,701
1957,China,776
1958,China,1070
1959,China,1290
1960,China,1360
1961,China,1150
1962,China,1040
1963,China,1050
1964,China,1080
1965,China,1140
1966,China,1210
1967,China,1130
1968,China,1170
1969,China,1290
1970,China,1520
1971,China,1650
1972,China,1730
1973,China,1780
1974,China,1800
1975,China,1990
1976,China,2050
1977,China,2190
1978,China,2370
1979,China,2430
1980,China,2410
1981,China,2390
1982,China,2530
1983,China,2650
1984,China,2830
1985,China,2980
1986,China,3110
1987,China,3300
1988,China,3490
1989,China,3570
1990,China,3630
1991,China,3770
1992,China,3900
1993,China,4080
1994,China,4330
1995,China,4680
1996,China,4860
1997,China,4840
1998,China,4700
1999,China,4770
2000,China,4890
2001,China,4990
2002,China,5410
2003,China,6190
2004,China,7000
2005,China,7770
2006,China,8530
2007,China,9080
2008,China,9650
2009,China,10100
2010,China,11000
2011,China,12000
2012,China,12400
