areaCode,areaName,areaType,date,cumDeaths28DaysByPublishDate
E07000111,Sevenoaks,ltla,2021-12-24,270
E07000111,Sevenoaks,ltla,2021-12-23,269
E07000111,Sevenoaks,ltla,2021-12-22,269
E07000111,Sevenoaks,ltla,2021-12-21,269
E07000111,Sevenoaks,ltla,2021-12-20,269
E07000111,Sevenoaks,ltla,2021-12-19,269
E07000111,Sevenoaks,ltla,2021-12-18,269
E07000111,Sevenoaks,ltla,2021-12-17,269
E07000111,Sevenoaks,ltla,2021-12-16,269
E07000111,Sevenoaks,ltla,2021-12-15,269
E07000111,Sevenoaks,ltla,2021-12-14,269
E07000111,Sevenoaks,ltla,2021-12-13,269
E07000111,Sevenoaks,ltla,2021-12-12,269
E07000111,Sevenoaks,ltla,2021-12-11,269
E07000111,Sevenoaks,ltla,2021-12-10,269
E07000111,Sevenoaks,ltla,2021-12-09,269
E07000111,Sevenoaks,ltla,2021-12-08,269
E07000111,Sevenoaks,ltla,2021-12-07,269
E07000111,Sevenoaks,ltla,2021-12-06,269
E07000111,Sevenoaks,ltla,2021-12-05,269
E07000111,Sevenoaks,ltla,2021-12-04,268
E07000111,Sevenoaks,ltla,2021-12-03,267
E07000111,Sevenoaks,ltla,2021-12-02,267
E07000111,Sevenoaks,ltla,2021-12-01,267
E07000111,Sevenoaks,ltla,2021-11-30,267
E07000111,Sevenoaks,ltla,2021-11-29,266
E07000111,Sevenoaks,ltla,2021-11-28,266
E07000111,Sevenoaks,ltla,2021-11-27,266
E07000111,Sevenoaks,ltla,2021-11-26,266
E07000111,Sevenoaks,ltla,2021-11-25,266
E07000111,Sevenoaks,ltla,2021-11-24,266
E07000111,Sevenoaks,ltla,2021-11-23,265
E07000111,Sevenoaks,ltla,2021-11-22,265
E07000111,Sevenoaks,ltla,2021-11-21,265
E07000111,Sevenoaks,ltla,2021-11-20,264
E07000111,Sevenoaks,ltla,2021-11-19,264
E07000111,Sevenoaks,ltla,2021-11-18,263
E07000111,Sevenoaks,ltla,2021-11-17,262
E07000111,Sevenoaks,ltla,2021-11-16,261
E07000111,Sevenoaks,ltla,2021-11-15,261
E07000111,Sevenoaks,ltla,2021-11-14,261
E07000111,Sevenoaks,ltla,2021-11-13,261
E07000111,Sevenoaks,ltla,2021-11-12,261
E07000111,Sevenoaks,ltla,2021-11-11,261
E07000111,Sevenoaks,ltla,2021-11-10,261
E07000111,Sevenoaks,ltla,2021-11-09,261
E07000111,Sevenoaks,ltla,2021-11-08,261
E07000111,Sevenoaks,ltla,2021-11-07,261
E07000111,Sevenoaks,ltla,2021-11-06,261
E07000111,Sevenoaks,ltla,2021-11-05,261
E07000111,Sevenoaks,ltla,2021-11-04,261
E07000111,Sevenoaks,ltla,2021-11-03,260
E07000111,Sevenoaks,ltla,2021-11-02,260
E07000111,Sevenoaks,ltla,2021-11-01,260
E07000111,Sevenoaks,ltla,2021-10-31,260
E07000111,Sevenoaks,ltla,2021-10-30,260
E07000111,Sevenoaks,ltla,2021-10-29,260
E07000111,Sevenoaks,ltla,2021-10-28,260
E07000111,Sevenoaks,ltla,2021-10-27,260
E07000111,Sevenoaks,ltla,2021-10-26,260
E07000111,Sevenoaks,ltla,2021-10-25,260
E07000111,Sevenoaks,ltla,2021-10-24,260
E07000111,Sevenoaks,ltla,2021-10-23,260
E07000111,Sevenoaks,ltla,2021-10-22,260
E07000111,Sevenoaks,ltla,2021-10-21,260
E07000111,Sevenoaks,ltla,2021-10-20,259
E07000111,Sevenoaks,ltla,2021-10-19,259
E07000111,Sevenoaks,ltla,2021-10-18,259
E07000111,Sevenoaks,ltla,2021-10-17,259
E07000111,Sevenoaks,ltla,2021-10-16,259
E07000111,Sevenoaks,ltla,2021-10-15,259
E07000111,Sevenoaks,ltla,2021-10-14,259
E07000111,Sevenoaks,ltla,2021-10-13,259
E07000111,Sevenoaks,ltla,2021-10-12,259
E07000111,Sevenoaks,ltla,2021-10-11,259
E07000111,Sevenoaks,ltla,2021-10-10,259
E07000111,Sevenoaks,ltla,2021-10-09,259
E07000111,Sevenoaks,ltla,2021-10-08,258
E07000111,Sevenoaks,ltla,2021-10-07,258
E07000111,Sevenoaks,ltla,2021-10-06,258
E07000111,Sevenoaks,ltla,2021-10-05,258
E07000111,Sevenoaks,ltla,2021-10-04,258
E07000111,Sevenoaks,ltla,2021-10-03,258
E07000111,Sevenoaks,ltla,2021-10-02,258
E07000111,Sevenoaks,ltla,2021-10-01,258
E07000111,Sevenoaks,ltla,2021-09-30,258
E07000111,Sevenoaks,ltla,2021-09-29,258
E07000111,Sevenoaks,ltla,2021-09-28,258
E07000111,Sevenoaks,ltla,2021-09-27,258
E07000111,Sevenoaks,ltla,2021-09-26,258
E07000111,Sevenoaks,ltla,2021-09-25,258
E07000111,Sevenoaks,ltla,2021-09-24,258
E07000111,Sevenoaks,ltla,2021-09-23,258
E07000111,Sevenoaks,ltla,2021-09-22,258
E07000111,Sevenoaks,ltla,2021-09-21,258
E07000111,Sevenoaks,ltla,2021-09-20,258
E07000111,Sevenoaks,ltla,2021-09-19,258
E07000111,Sevenoaks,ltla,2021-09-18,258
E07000111,Sevenoaks,ltla,2021-09-17,258
E07000111,Sevenoaks,ltla,2021-09-16,258
E07000111,Sevenoaks,ltla,2021-09-15,258
E07000111,Sevenoaks,ltla,2021-09-14,258
E07000111,Sevenoaks,ltla,2021-09-13,258
E07000111,Sevenoaks,ltla,2021-09-12,258
E07000111,Sevenoaks,ltla,2021-09-11,257
E07000111,Sevenoaks,ltla,2021-09-10,257
E07000111,Sevenoaks,ltla,2021-09-09,257
E07000111,Sevenoaks,ltla,2021-09-08,257
E07000111,Sevenoaks,ltla,2021-09-07,257
E07000111,Sevenoaks,ltla,2021-09-06,257
E07000111,Sevenoaks,ltla,2021-09-05,257
E07000111,Sevenoaks,ltla,2021-09-04,257
E07000111,Sevenoaks,ltla,2021-09-03,257
E07000111,Sevenoaks,ltla,2021-09-02,257
E07000111,Sevenoaks,ltla,2021-09-01,257
E07000111,Sevenoaks,ltla,2021-08-31,257
E07000111,Sevenoaks,ltla,2021-08-30,257
E07000111,Sevenoaks,ltla,2021-08-29,257
E07000111,Sevenoaks,ltla,2021-08-28,257
E07000111,Sevenoaks,ltla,2021-08-27,257
E07000111,Sevenoaks,ltla,2021-08-26,257
E07000111,Sevenoaks,ltla,2021-08-25,257
E07000111,Sevenoaks,ltla,2021-08-24,257
E07000111,Sevenoaks,ltla,2021-08-23,257
E07000111,Sevenoaks,ltla,2021-08-22,257
E07000111,Sevenoaks,ltla,2021-08-21,257
E07000111,Sevenoaks,ltla,2021-08-20,257
E07000111,Sevenoaks,ltla,2021-08-19,257
E07000111,Sevenoaks,ltla,2021-08-18,257
E07000111,Sevenoaks,ltla,2021-08-17,257
E07000111,Sevenoaks,ltla,2021-08-16,257
E07000111,Sevenoaks,ltla,2021-08-15,257
E07000111,Sevenoaks,ltla,2021-08-14,257
E07000111,Sevenoaks,ltla,2021-08-13,257
E07000111,Sevenoaks,ltla,2021-08-12,257
E07000111,Sevenoaks,ltla,2021-08-11,257
E07000111,Sevenoaks,ltla,2021-08-10,257
E07000111,Sevenoaks,ltla,2021-08-09,257
E07000111,Sevenoaks,ltla,2021-08-08,257
E07000111,Sevenoaks,ltla,2021-08-07,257
E07000111,Sevenoaks,ltla,2021-08-06,257
E07000111,Sevenoaks,ltla,2021-08-05,257
E07000111,Sevenoaks,ltla,2021-08-04,256
E07000111,Sevenoaks,ltla,2021-08-03,256
E07000111,Sevenoaks,ltla,2021-08-02,255
E07000111,Sevenoaks,ltla,2021-08-01,255
E07000111,Sevenoaks,ltla,2021-07-31,254
E07000111,Sevenoaks,ltla,2021-07-30,254
E07000111,Sevenoaks,ltla,2021-07-29,254
E07000111,Sevenoaks,ltla,2021-07-28,254
E07000111,Sevenoaks,ltla,2021-07-27,254
E07000111,Sevenoaks,ltla,2021-07-26,254
E07000111,Sevenoaks,ltla,2021-07-25,254
E07000111,Sevenoaks,ltla,2021-07-24,254
E07000111,Sevenoaks,ltla,2021-07-23,254
E07000111,Sevenoaks,ltla,2021-07-22,254
E07000111,Sevenoaks,ltla,2021-07-21,254
E07000111,Sevenoaks,ltla,2021-07-20,254
E07000111,Sevenoaks,ltla,2021-07-19,254
E07000111,Sevenoaks,ltla,2021-07-18,254
E07000111,Sevenoaks,ltla,2021-07-17,254
E07000111,Sevenoaks,ltla,2021-07-16,254
E07000111,Sevenoaks,ltla,2021-07-15,254
E07000111,Sevenoaks,ltla,2021-07-14,254
E07000111,Sevenoaks,ltla,2021-07-13,254
E07000111,Sevenoaks,ltla,2021-07-12,254
E07000111,Sevenoaks,ltla,2021-07-11,254
E07000111,Sevenoaks,ltla,2021-07-10,254
E07000111,Sevenoaks,ltla,2021-07-09,254
E07000111,Sevenoaks,ltla,2021-07-08,254
E07000111,Sevenoaks,ltla,2021-07-07,254
E07000111,Sevenoaks,ltla,2021-07-06,254
E07000111,Sevenoaks,ltla,2021-07-05,254
E07000111,Sevenoaks,ltla,2021-07-04,254
