Entity,Region,Life Expectancy,,,
Afghanistan,Asia,64.83,,Afghanistan,64.83
Albania,Europe,78.57,,Albania,78.57
Algeria,Africa,76.88,,Algeria,76.88
Andorra,Europe,83.73,,Angola,61.15
Angola,Africa,61.15,,Antigua and Barbuda,77.02
Antigua and Barbuda,Central America,77.02,,Argentina,76.67
Argentina,South America,76.67,,Armenia,75.09
Armenia,Asia,75.09,,Australia,83.44
Australia,Oceania,83.44,,Austria,81.54
Austria,Europe,81.54,,Azerbaijan,73.01
Azerbaijan,Asia,73.01,,Bahamas,73.92
Bahamas,Central America,73.92,,Bahrain,77.29
Bahrain,Asia,77.29,,Bangladesh,72.59
Bangladesh,Asia,72.59,,Barbados,79.19
Barbados,Central America,79.19,,Belarus,74.79
Belarus,Europe,74.79,,Belgium,81.63
Belgium,Europe,81.63,,Belize,74.62
Belize,Central America,74.62,,Benin,61.77
Benin,Africa,61.77,,Bhutan,71.78
Bhutan,Asia,71.78,,Bolivia,71.51
Bolivia,South America,71.51,,Bosnia and Herzegovina,77.4
Bosnia and Herzegovina,Europe,77.4,,Botswana,69.59
Botswana,Africa,69.59,,Brazil,75.88
Brazil,South America,75.88,,Brunei,75.86
Brunei,Asia,75.86,,Bulgaria,75.05
Bulgaria,Europe,75.05,,Burkina Faso,61.58
Burkina Faso,Africa,61.58,,Burundi,61.58
Burundi,Africa,61.58,,Cambodia,69.82
Cambodia,Asia,69.82,,Cameroon,59.29
Cameroon,Africa,59.29,,Canada,82.43
Canada,North America,82.43,,Cape Verde,72.98
Cape Verde,Africa,72.98,,Central African Republic,53.28
Central African Republic,Africa,53.28,,Chad,54.24
Chad,Africa,54.24,,Chile,80.18
Chile,South America,80.18,,China,76.91
China,Asia,76.91,,Colombia,77.29
Colombia,South America,77.29,,Comoros,64.32
Comoros,Africa,64.32,,Costa Rica,80.28
Congo,Africa,64.57,,Cote d'Ivoire,57.78
Costa Rica,Central America,80.28,,Croatia,78.49
Cote d'Ivoire,Africa,57.78,,Cuba,78.8
Croatia,Europe,78.49,,Cyprus,80.98
Cuba,Central America,78.8,,Czechia,79.38
Cyprus,Europe,80.98,,Democratic Republic of Congo,60.68
Czechia,Europe,79.38,,Denmark,80.9
Democratic Republic of Congo,Africa,60.68,,Djibouti,67.11
Denmark,Europe,80.9,,Dominica,75
Djibouti,Africa,67.11,,Dominican Republic,74.08
Dominica,Central America,75,,Ecuador,77.01
