Entity,Region,Year,"Age-standardised death rates from air pollution (per 100,000)- IHME GBD SDG indicators",GDP/capita
Afghanistan,Asia,2015,427.3,556
Albania,Europe,2015,62.5,3953
Algeria,Africa,2015,47.4,4178
Andorra,Europe,2015,13.4,35771
Angola,Africa,2015,249.3,4167
Antigua and Barbuda,Central America,2015,30.6,14285
Argentina,South America,2015,36.0,13789
Armenia,Europe,2015,67.4,3607
Australia,Oceania,2015,9.0,56707
Austria,Europe,2015,23.8,44178
Azerbaijan,Asia,2015,96.2,5500
Bahamas,Central America,2015,30.9,31776
Bahrain,Asia,2015,48.5,22634
Bangladesh,Asia,2015,229.3,1248
Barbados,Central America,2015,26.8,16525
Belarus,Europe,2015,84.1,5967
Belgium,Europe,2015,25.9,40992
Belize,Central America,2015,71.1,4770
Benin,Africa,2015,246.2,1077
Bhutan,Asia,2015,127.3,2753
Bolivia,South America,2015,79.2,3036
Bosnia and Herzegovina,Europe,2015,82.3,4730
Botswana,Africa,2015,148.9,6403
Brazil,South America,2015,42.0,8814
Brunei,Asia,2015,11.3,31164
Bulgaria,Europe,2015,79.6,7075
Burkina Faso,Africa,2015,209.3,653
Burundi,Africa,2015,228.3,306
Cambodia,Asia,2015,171.8,1163
Cameroon,Africa,2015,233.3,1383
Canada,North America,2015,12.9,43596
Central African Republic,Africa,2015,391.4,377
Chad,Africa,2015,260.7,776
Chile,South America,2015,30.1,13574
China,Asia,2015,121.0,8016
Colombia,South America,2015,43.7,6176
Comoros,Africa,2015,152.5,1243
Congo,Africa,2015,252.7,497
Costa Rica,Central America,2015,26.4,11643
Cote d'Ivoire,Africa,2015,226.9,1973
Croatia,Europe,2015,52.2,11933
Cuba,Central America,2015,43.5,7694
Cyprus,Europe,2015,22.5,23408
Czechia,Europe,2015,44.6,17830
Denmark,Europe,2015,22.6,53255
Djibouti,Africa,2015,133.8,2659
Dominica,Central America,2015,35.4,7597
Dominican Republic,Central America,2015,52.3,6922
Ecuador,South America,2015,29.9,6124
Egypt,Central America,2015,115.0,3563
El Salvador,Central America,2015,56.2,3706
Equatorial Guinea,Africa,2015,214.5,11283
Eritrea,Africa,2015,228.4,643
Estonia,Europe,2015,33.0,17395
Eswatini,Africa,2015,251.8,3680
Ethiopia,Africa,2015,181.4,641
Fiji,Oceania,2015,58.6,5391
Finland,Europe,2015,14.2,42785
France,Europe,2015,15.4,36638
Gabon,Africa,2015,114.8,7385
Gambia,Africa,2015,201.1,661
Georgia,Asia,2015,105.3,4014
Germany,Europe,2015,23.8,41087
Ghana,Africa,2015,204.9,1774
Greece,Europe,2015,29.1,18077
Grenada,Central America,2015,47.7,9097
Guatemala,Central America,2015,89.3,3995
Guinea,Africa,2015,258.7,769
Guinea-Bissau,Africa,2015,290.3,603
Guyana,South America,2015,75.1,5577
Haiti,Central America,2015,201.7,1387
Honduras,Central America,2015,116.9,2286
Hungary,Europe,2015,57.4,12721
Iceland,Europe,2015,12.7,52952
India,Asia,2015,223.1,1606
Indonesia,Asia,2015,82.5,3332
Iran,Asia,2015,73.6,4904
Iraq,Asia,2015,113.8,4688
Ireland,Europe,2015,20.0,61988
Israel,Asia,2015,23.4,35808
Italy,Europe,2015,23.6,30230
Jamaica,Central America,2015,42.0,4908
Japan,Asia,2015,17.3,34961
Jordan,Asia,2015,43.7,4164
Kazakhstan,Asia,2015,95.8,10511
Kenya,Africa,2015,129.0,1465
Kiribati,Oceania,2015,70.3,1543
Kuwait,Asia,2015,55.2,29870
Kyrgyzstan,Asia,2015,133.5,1174
Laos,Asia,2015,191.1,2140
Latvia,Europe,2015,59.3,13781
Lebanon,Asia,2015,46.0,7664
Lesotho,Africa,2015,275.9,1146
Liberia,Africa,2015,177.1,722
Libya,Africa,2015,82.0,4338
Lithuania,Europe,2015,55.6,14258
Luxembourg,Europe,2015,20.9,105420
Madagascar,Africa,2015,246.9,467
Malawi,Africa,2015,167.8,381
Malaysia,Asia,2015,53.5,9955
Maldives,Asia,2015,43.5,9033
Mali,Africa,2015,175.4,751
Malta,Europe,2015,24.6,24922
Marshall Islands,Oceania,2015,77.0,3200
Mauritania,Africa,2015,157.9,1524
Mauritius,Africa,2015,39.2,9260
Mexico,Central America,2015,42.3,9617
Moldova,Europe,2015,75.6,2732
Mongolia,Asia,2015,161.8,3875
Montenegro,Europe,2015,86.9,6514
Morocco,Africa,2015,46.6,2875
Mozambique,Africa,2015,185.8,590
Myanmar,Asia,2015,166.4,1197
Namibia,Africa,2015,154.9,4897
Nepal,Asia,2015,197.2,902
Netherlands,Europe,2015,24.0,45175
New Zealand,Oceania,2015,9.0,38631
Nicaragua,Central America,2015,59.8,2050
Niger,Africa,2015,236.8,484
Nigeria,Africa,2015,153.2,2687
North Macedonia,Europe,2015,89.3,4862
Norway,Europe,2015,16.5,74356
Oman,Asia,2015,65.1,16033
Pakistan,Asia,2015,227.9,1357
Panama,Central America,2015,32.2,13630
Papua New Guinea,Africa,2015,256.8,2679
Paraguay,South America,2015,71.7,5414
Peru,South America,2015,61.4,6229
Philippines,Asia,2015,142.9,3001
Poland,Europe,2015,53.1,12578
Portugal,Europe,2015,17.8,19242
Qatar,Asia,2015,51.9,63039
Romania,Europe,2015,74.3,8969
Russia,Europe,2015,68.1,9313
Rwanda,Africa,2015,191.7,751
Saint Lucia,Central America,2015,37.4,8805
Saint Vincent and the Grenadines,Central America,2015,47.7,7278
Samoa,Oceania,2015,60.0,4072
Sao Tome and Principe,Africa,2015,198.0,1585
Saudi Arabia,Asia,2015,67.3,20628
Senegal,Africa,2015,196.3,1219
Serbia,Europe,2015,81.9,5589
Seychelles,Africa,2015,35.9,14745
Sierra Leone,Africa,2015,253.2,588
Singapore,Asia,2015,33.0,55647
Slovakia,Europe,2015,49.7,16336
Slovenia,Europe,2015,31.2,20882
Solomon Islands,Oceania,2015,179.1,2167
Somalia,Africa,2015,264.5,293
South Africa,Africa,2015,106.7,6260
South Korea,Asia,2015,28.3,28732
South Sudan,Africa,2015,232.6,1120
Spain,Europe,2015,15.4,25732
Sri Lanka,Asia,2015,79.4,3844
St. Kitts and Nevis,Central America,2015,61.2,18029
St. Lucia,Central America,2015,33.8,10094
St. Vincent and the Grenadines,Central America,2015,29.0,6922
Sudan,Africa,2015,191.6,1657
Suriname,South America,2015,50.5,9168
Sweden,Europe,2015,11.4,51545
Switzerland,Europe,2015,16.4,84776
Syria,Asia,2015,74.6,916
Tajikistan,Asia,2015,153.9,978
Tanzania,Africa,2015,176.3,948
Thailand,Asia,2015,71.7,5840
Timor-Leste,Asia,2015,121.8,1333
Togo,Africa,2015,234.1,571
Tonga,Oceania,2015,51.0,4336
Trinidad and Tobago,Central America,2015,38.5,18214
Tunisia,Africa,2015,49.4,4095
Turkey,Europe,2015,45.5,11006
Turkmenistan,Asia,2015,102.0,6433
Uganda,Africa,2015,217.1,847
Ukraine,Europe,2015,82.9,2125
United Arab Emirates,Asia,2015,87.5,38663
United Kingdom,Europe,2015,23.7,45405
United States,North America,2015,20.7,56863
