Country,Region,EPI Score,Life Expectancy,Health Expenditure per Capita (current $US)
Central African Republic,Africa,36.9,53.28,53.66
Chad,Africa,26.7,54.24,29.24
Lesotho,Africa,28,54.33,124.79
Nigeria,Africa,31,54.69,83.75
Sierra Leone,Africa,25.7,54.7,85.78
Cote d'Ivoire,Africa,25.8,57.78,71.88
Guinea-Bissau,Africa,29.1,58.32,53.29
Equatorial Guinea,Africa,38.1,58.74,314.30
Cameroon,Africa,33.6,59.29,54.14
Mali,Africa,29.4,59.31,34.95
Eswatini,Africa,33.8,60.19,271.14
Dem. Rep. Congo,Africa,36.4,60.68,18.51
Mozambique,Africa,33.9,60.85,40.26
Togo,Africa,29.5,61.04,41.84
Angola,Africa,29.7,61.15,87.62
Zimbabwe,Africa,37,61.49,140.32
Burundi,Africa,27,61.58,24.03
Burkina Faso,Africa,38.3,61.58,40.25
Guinea,Africa,26.4,61.6,38.32
Benin,Africa,30,61.77,30.94
Gambia,Africa,27.9,62.05,22.16
Niger,Africa,30.8,62.42,30.36
Uganda,Africa,35.6,63.37,43.14
Namibia,Africa,40.2,63.71,471.49
Zambia,Africa,34.7,63.89,75.99
Haiti,South and Central America,27,64,64.25
Ghana,Africa,27.6,64.07,77.91
Liberia,Africa,22.6,64.1,45.42
South Africa,Africa,43.1,64.13,525.96
Malawi,Africa,38.3,64.26,35.50
Comoros,Africa,32.1,64.32,65.23
Papua New Guinea,Asia,32.4,64.5,63.77
Republic of the Congo,Africa,30.8,64.57,47.52
Afghanistan,Asia,25.5,64.83,49.84
Mauritania,Africa,27.7,64.93,54.49
Sudan,Africa,34.8,65.31,60.17
Tanzania,Africa,31.1,65.46,36.82
Eritrea,Africa,30.4,66.32,23.79
Gabon,Africa,45.8,66.47,218.37
Ethiopia,Africa,34.4,66.6,24.23
Kenya,Africa,34.7,66.7,88.39
Madagascar,Africa,26.5,67.04,22.05
Djibouti,Africa,28.1,67.11,70.86
Myanmar,Asia,25.1,67.13,59.21
Pakistan,Asia,33.1,67.27,42.87
Fiji,Oceania,34.4,67.44,214.55
Micronesia,Oceania,33,67.88,415.82
Laos,Asia,34.8,67.92,57.11
Senegal,Africa,30.7,67.94,58.90
Turkmenistan,Asia,43.9,68.19,460.18
Kiribati,Oceania,37.7,68.37,196.85
Rwanda,Africa,33.8,69.02,58.31
Timor-Leste,Asia,35.3,69.5,93.69
Botswana,Africa,40.4,69.59,482.96
India,Asia,27.6,69.66,72.83
Cambodia,Africa,33.6,69.82,90.56
Mongolia,Asia,32.2,69.87,155.09
Guyana,South and Central America,35.9,69.91,295.56
Sao Tome and Principe,Africa,37.6,70.39,125.40
Vanuatu,Oceania,28.9,70.47,105.39
Iraq,Asia,39.5,70.6,239.41
Nepal,Asia,32.7,70.78,57.85
Tonga,Oceania,45.1,70.91,236.93
Tajikistan,Asia,38.2,71.1,59.84
Philippines,Asia,38.4,71.23,136.54
Kyrgyzstan,Asia,39.8,71.45,85.74
Bolivia,South and Central America,44.3,71.51,223.60
Suriname,South and Central America,45.2,71.68,474.13
Indonesia,Asia,37.8,71.72,111.68
Uzbekistan,Asia,44.3,71.73,82.27
Bhutan,Asia,39.3,71.78,102.74
Moldova,Europe / North America,44.4,71.9,212.97
Egypt,Africa,43.3,71.99,125.55
Venezuela,South and Central America,50.3,72.06,256.95
Ukraine,Europe / North America,49.5,72.07,228.39
Grenada,South and Central America,43.1,72.4,474.53
Russia,Asia,50.5,72.58,609.01
Bangladesh,Asia,29,72.59,41.91
Cape Verde,Africa,32.8,72.98,194.86
Solomon Islands,Oceania,26.7,73,94.96
Azerbaijan,Asia,46.5,73.01,165.77
Samoa,Oceania,37.3,73.32,227.33
El Salvador,South and Central America,43.1,73.32,288.52
Seychelles,Africa,58.2,73.4,833.08
Trinidad and Tobago,South and Central America,47.5,73.51,1123.42
Kazakhstan,Asia,44.7,73.6,275.85
Marshall Islands,Oceania,30.8,73.7,643.07
Georgia,Europe / North America,41.3,73.77,312.75
Bahamas,South and Central America,43.5,73.92,2013.38
Dominican Republic,South and Central America,46.3,74.08,461.54
Paraguay,South and Central America,46.4,74.25,400.39
Guatemala,South and Central America,31.8,74.3,259.62
Jamaica,South and Central America,48.2,74.48,320.98
Nicaragua,South and Central America,39.2,74.49,173.77
Jordan,Asia,53.4,74.53,330.14
Belize,South and Central America,41.9,74.62,285.99
Belarus,Europe / North America,53,74.79,356.25
Mauritius,Africa,45.1,74.99,653.35
Dominica,South and Central America,44.6,75,490.82
Mexico,South and Central America,52.6,75.05,519.61
Bulgaria,Europe / North America,57,75.05,689.91
Armenia,Asia,52.3,75.09,422.28
Saudi Arabia,Asia,44,75.13,1484.59
Honduras,South and Central America,37.8,75.27,176.25
Latvia,Europe / North America,61.6,75.29,1101.49
Vietnam,Asia,33.4,75.4,151.69
Kuwait,Asia,53.6,75.49,1711.22
North Macedonia,Europe / North America,55.4,75.8,399.10
Brunei ,Asia,54.8,75.86,763.15
